A28102_at	GABRA3
L22524_s_at	MMP7
L22569_at	CTSB
L23808_at	MMP12
L23852_at	No result found
L23959_at	TFDP1
L24564_at	RRAD
L24774_s_at	DCI
L24804_at	PTGES3
L25080_at	RHOA
L25085_at	SEC61B
L25286_s_at	COL15A1
L25798_at	HMGCS1
L25851_at	ITGAE
L25876_at	CDKN3
L25931_s_at	LBR
L26247_at	EIF1
L26339_at	EDC4
L26494_at	POU3F1
L27071_at	TXK
L27080_at	MC5R
L27476_at	TJP2
L27560_at	IGFBP5
L27624_s_at	TFPI2
L27706_at	CCT6A
L28010_at	HNRNPF
L28957_at	PCYT1A
L28997_at	ARL1
L29008_at	SORD
L29218_at	CLK2
L29277_at	STAT3
L31584_at	CCR7
L31801_at	SLC16A1
L32137_at	COMP
L32140_at	AFM
L32179_at	AADAC
L32866_at	EPR1
L32976_at	MAP3K11
L32977_at	UQCRFS1
L33075_at	IQGAP1
L33799_at	PCOLCE
L33801_at	GSK3B
L33842_rna1_at	IMPDH2
L33881_at	PRKCI
L33930_s_at	CD24
L34587_at	TCEB1
L34600_at	MTIF2
L34673_at	HLTF
L34820_at	ALDH5A1
L35035_at	RPIA
L35249_s_at	ATP6V1B2
L35253_s_at	MAPK14
L35263_at	MAPK14
L35269_at	ZNF35
L35594_at	ENPP2
L36151_at	PI4KA
L36720_at	BYSL
L36818_at	INPPL1
L36983_at	DNM2
L37043_at	CSNK1E
L37127_at	POLR2J2
L37368_at	RNPS1
L37936_at	TSFM
L38490_s_at	ARL4D
L38696_at	RALY
L38810_at	PSMC5
L38928_at	MTHFS
L38932_at	CNTD1
L38951_at	KPNB1
L39874_at	DCTD
L40357_at	HMGN3
L40391_at	TMED10
L40392_at	RBM25
L40393_at	NUMB
L40396_at	YLPM1
L40397_at	TMED10
L40410_at	ZNHIT3
L41067_at	NFATC3
L41162_at	TCFL5
L41668_rna1_at	GALE
L41680_at	ST8SIA4
L41816_at	CAMK1
L41887_rna1_at	SFRS7
L41919_rna1_at	HIC1
L42324_at	GPR18
L42373_at	No result found
L42379_at	No result found
L42542_at	No result found
L42572_at	IMMT
L42583_f_at	KRT5
L42601_f_at	KRT5
L42611_f_at	KRT6C
L43631_at	SAFB
L43964_at	PSEN2
L46720_s_at	ENPP2
L47276_s_at	TOP2A
L47738_at	CYFIP2
L48513_at	No result found
L49169_at	FOSB
L49229_f_at	RB1
L49380_at	SF1
L76191_at	IRAK1
L76200_at	GUK1
L76528_s_at	PSEN1
L76568_xpt3_f_at	No result found
L77213_at	PMVK
L77561_at	DGCR11
